question1,question2
Write short notes on: (Any Two) Factors for selecting the location of power plant.,What are two considerations that should be taken into account when selecting the location of a power plant?
"Write short notes on: (Any two) Interface selection, Destroying CORBA objects, Assessment steps","Provide a brief overview of Interface selection and Destroying CORBA objects, as well as outline the Assessment steps."
"When negative voltage feedback applied to an amplifier of gain 100, the overall voltage gain falls to 60. i) Calculate the fraction of the output voltage feedback. ii) If this fraction is maintained, calculate the value of the amplifier gain required if the overall stage gain is to be 75.","i) What proportion of the amplifier output voltage is being fed back to the amplifier input? ii) If the same proportion of the output voltage is fed back, what should the amplifier gain be to produce an overall stage gain of 75?"
Draw the neat sketch of suspended timber floor showing all necessary details.,Create an organized illustration of a suspended timber floor that includes all necessary information.
Derive the torque-slip characteristics of a 3-phase induction motor. What would be the effect of changing rotor resistance on the T-S characteristics?,What would be the impact of altering the rotor resistance on the torque-slip characteristics of a three-phase induction motor when derived?
What do you understand by image data compression? Explain any one technique for image data compression.,How would you define image data compression? Describe one method used to compress image data.
With the help of circuit diagram explain the operation of step up chopper. Also find its output voltage.,"Explain how a step up chopper works using a circuit diagram, and provide the output voltage."
Determine the response of the system with the impulse response h[n] = anu[n] to the input signal                      x[n] = u[n]-u[n-10],Find out what the output of the system will be when the input is u[n] minus u[n-10] with an impulse response of anu[n].
Show the relationship between workers and artifacts involved in Analysis.,Demonstrate the connection between personnel and objects used in Analysis.
What is dynamic memory allocation? How do you allocate memory dynamically in C++? Explain with an example.,What is the process of allocating memory at run-time in C++? How can this be done? Provide an example to illustrate.
What are the laws of Boolean Algebra? State & prove De-Morgan’s Theorem.,"What are the principles of Boolean Algebra, and how can De-Morgan's Theorem be demonstrated?"
A city with a population of 120000 and a sewage flow of 150 lpcd is located on a stream with a rate of flow 0.7 cum per sec. The BOD of sewage is 210 mg/ lt. The D.O. and B.O.D. content of the stream above the outfall sewer are 7.8 and 1 mg/ lt respectively: i) How many K. g. of oxygen per day are available above the outfall? ii) What is the total K. g. of BOD per day in the stream just below the outfall? Express the total BOD in mg/ lt.,"i) How much oxygen (in kilograms) is available per day above the outfall of a city with a population of 120000 and a sewage flow of 150 lpcd, located on a stream with a rate of flow 0.7 cum per sec, given that the BOD of sewage is 210 mg/ lt and the D.O. and B.O.D. content of the stream above the outfall sewer are 7.8 and 1 mg/ lt respectively? ii) What is the total amount of BOD (in kilograms) per day in the stream just below the outfall, expressed in mg/ lt, given that the population of the city is 120000 and the sewage flow is 150 lpcd, located on a stream with a rate of flow 0.7 cum per sec, and the BOD of sewage is 210 mg/ lt and the D.O. and B.O.D. content of the stream above the outfall sewer are 7.8 and 1 mg/ lt respectively?"
Explain the method of damp proofing in the residential building with neat sketches?,Outline the process of damp proofing a residential building and illustrate it with sketches.
What is surge diverter? What is the basic principle of operation of lighting arrestor? Describe about multigap lighting arrestor with neat diagram.,"What is a surge diverter and what is the underlying operating principle of a lightning arrester? Additionally, provide a clear diagram illustrating a multigap lightning arrester."
Create a html form with name and email as input. When you click the submit button the target php should validate the email. Finally the valid data should be displayed in the browser.,"Create an HTML form with two input fields, one for a name and one for an email address. When the submit button is clicked, the target PHP page should check if the email address is valid. If the data is valid, it should be displayed in the browser."
"With flow diagram, discuss briefly about the principle of Activated Sludge Process.",Create a flow chart to illustrate the basic components of the Activated Sludge Process.
A bar magnet of length 10cm has a pole strength of 500 units. Calculate the magnetic intensity at a distance of 20 cm from its centre on its axial line.,What is the magnetic intensity at a distance of 20 cm from the center of a 10 cm bar magnet with a pole strength of 500 units?
Explain the importance of rural infrastructure in the transformation of Nepalese rural society? What are the current emphases of rural infrastructure development program in Nepal?,What is the significance of rural infrastructure in changing Nepalese rural life? What are the main focuses of the rural infrastructure development program in Nepal right now?
Write short notes on: (Any two) i) Master slave flipflop.ii) Nibble Adder. iii) PLA.,i) Provide a brief description of a Master Slave Flipflop. ii) Summarize the function of a Nibble Adder. iii) Explain the purpose of a PLA.
"Compute the total, effective and pore pressure at a depth of 20 m below the bottom of a lake 6 m deep. The bottom of lake consists of soft clay with a thickness of more than 20 m. The average water content of the clay is 35% and the specific gravity of the soil may be assumed as 2.65.","Calculate the total, effective and pore pressure at a depth of 20 meters below the bottom of a lake that is 6 meters deep. The bottom of the lake is composed of soft clay with a thickness of more than 20 meters and an average water content of 35%. The specific gravity of the soil can be assumed to be 2.65."
Write the characteristics of contouring and illustrate with suitable sketches.,Describe the features of contouring and provide illustrations to demonstrate them.
Describe what sociological and technological changes were happening that led toward the development of Modern Architecture from the early 1800’s.,Discuss the social and technological advancements that helped create Modern Architecture beginning in the early 1800's.
Derive an expression for the percentage voltage drop in the distribution substation service area with N primary feeders.,What equation can be used to calculate the voltage drop in a distribution substation with N primary feeders?
Describe the failure behavior of masonry wall under lateral loads.,What happens when a masonry wall is subjected to lateral forces?
Describe the phenomenon of corona. Discuss why the bundled conductor lines have less corona loss then the lines with one conductor per phase.,Explain the occurrence of corona and explain why the cables with multiple conductors per phase have lower corona losses than those with a single conductor per phase.
Compare the riveted joints with welded joints. Mention the advantage of welded joint over the riveted joint.,Compare the benefits of welded joints to those of riveted joints. What is the primary advantage of a welded joint over a riveted joint?
What is generic and templates. Create a template to find the sum of two integers and floats.,How can you make a pattern to add together two integers and floats?
What will be the Fourier series representation of unit impulse function?,What is the Fourier series form of a unit impulse function?
What is Inter-symbol interference? State the Nyquist criteria for zero ISI in baseband pulse shaping.,What is the meaning of Inter-symbol interference and what are the Nyquist criteria for eliminating it in the context of baseband pulse shaping?
What do you know about electrophilic aromatic substitution and elimination reaction?,What is your understanding of electrophilic aromatic substitution and elimination reactions?
What is a software process model? Explain Incremental Model with diagram,How does a software process model work? Can you provide a diagram to illustrate the Incremental Model?
Draw block diagram of shaper machine and explain operations in shaper machine.,Create a visual representation of a shaper machine and explain how it works.
Write about the factor affecting the conversion efficiency of solar photovoltaic cell. How is single crystal silicon obtained?,"What are the elements that influence the effectiveness of a solar photovoltaic cell, and how is single crystal silicon acquired?"
"What do you understand by the term,’’Geo–thermal Energy’’? Explain with the help of simple sketches, the different the types of geo-thermal power plants.",What is your comprehension of Geo–thermal Energy? Illustrate the various categories of geo-thermal power plants by means of simple drawings.
Write a program for 8086 assembler to find the number of negative data bytes in the given series.,Create a program for 8086 assembler to calculate how many negative data bytes are in the provided sequence.
Why virtual memory is necessary? How can you convert logical address into physical address? Explain with necessary figures.,What is the purpose of virtual memory and how can logical addresses be converted into physical addresses? Please provide diagrams to illustrate your explanation.
The temperature rise of a transformer is 25 ⁰ C after one hour and 37.5 ⁰ C after two hours of starting from cold conditions. Calculate its final steady temperature rise and heating time constant.,What is the steady temperature increase and time constant of heating for a transformer that starts from a cold state and reaches 25 ⁰ C after one hour and 37.5 ⁰ C after two hours?
Write the characteristics of contouring and illustrate with suitable sketches.,Describe the features of contouring and provide illustrations to demonstrate them.
"Explain about Architectural Competitions, how and why they are run, why they may be significant, etc. List at least three major Architectural Competitions of the last 150 years. Pick one and explain in detail about the competition, the winning Architect, the influence of the design competition, etc.","Describe Architectural Competitions, their purpose, and why they are important. Provide three examples of major Architectural Competitions from the past 150 years and explain one in detail, including the winning Architect, the impact of the competition, and so on."
Calculate the storage required to supply the demand shown in the following table if the inflow of water to the reservoir is maintained at a uniform rate throughout 24 hrs.,Determine the amount of space needed to meet the demand indicated in the table if the water coming into the reservoir is kept at a steady rate for 24 hours.
What do you know about fault? Discuss about the criteria for the recognition of faults.,Discuss the criteria used to identify faults. What is your understanding of fault?
How does program relocation take place in machine dependent assembler? Define the Pass1 algorithm of machine dependent assembler.,"What is the process of moving a program to a different location in a machine dependent assembler, and how is Pass1 algorithm of machine dependent assembler defined?"
Write short notes on (Any Two) i) Visibility ii) Domain Analysis iii) Exceptions and error handling,i) Provide a brief overview of Visibility. ii) Describe Domain Analysis. iii) Explain Exceptions and error handling.
"A 440v, dc compound generator has an armature series and shunt field resistance are 0.5, 1.0 and 200 ohms respectively. Calculate the generator emf across armature while delivering 40A to external circuit for both long shunt and short shunt connections of generator.","What is the generator emf output when 40A is delivered to an external circuit for both a long shunt and short shunt connection for a 440v DC compound generator with a series armature resistance of 0.5 ohms, shunt field resistance of 1.0 ohms, and an armature resistance of 200 ohms?"
Why Load flow analysis is essential? Derive the static load flow equation for n bus system?,What is the importance of Load Flow Analysis and what is the static load flow equation for a system with n buses?
"Calculate the dynamic viscosity of oil, which is used for lubrication between a square plate of size 0.9m × 0.9m and an inclined plane with angle of inclination 30 degree. The weight of square plate is 450 N and its slides down the inclined plane with a uniform velocity of 0.3 m/s. The thickness of oil film is 2 mm.","What is the dynamic viscosity of the oil used to lubricate a 0.9m x 0.9m square plate with a weight of 450N, which slides down an inclined plane with an angle of 30 degrees at a uniform velocity of 0.3 m/s with a thickness of 2 mm?"
Describe shortly about different methods of soil exploration.,Briefly outline various techniques for exploring soil.
Write the VHDL code for the structural description of a full adder.,Create a VHDL program that outlines the structure of a full adder.
A single phase load of 100KVA is connected across lines bc of a 3-phase supply of 3.3KV. Find the symmetrical components of the line current.,What are the symmetrical components of the line current when a single phase load of 100KVA is connected across lines due to a 3-phase supply of 3.3KV?
Explain the initialization and termination process in IPX.,Describe the beginning and ending stages of IPX.
A bullet weighing 50 g and moving at 100 m/s penetrates the 4.5 kg body as shown and emerges with a velocity of 25 m/s. How far and how long does the body move then?,"What distance and duration does the 4.5 kg body travel after being penetrated by a 50-gram bullet moving at 100 m/s, which emerges with a velocity of 25 m/s?"
"Siddhartha highway has a curve of 625 m radius is to be set out connect two straights. The maximum speed of the moving vehicles on this curve is restricted to 90 Km/ hour. Transition curves are to be introduced at each end of curve Calculate a) length of transition curve b) shift of circular curve c) chainage of the beginning and end of curve d) Tangential off set of first junction point. Take peg interval 20m in circular curve & 10m in transition curve, angle of intersection 1300 24’ and rate of change of acceleration = 0.25m/ sec3.","What is the length of the transition curves, shift of the circular curve, chainage of the beginning and end of the curve, and tangential offset of the first junction point for the Siddhartha highway curve with a radius of 625 m, a maximum speed of 90 Km/ hour, and an angle of intersection of 1300 24’, given a peg interval of 20 m in the circular curve and 10 m in the transition curve, and a rate of change of acceleration of 0.25 m/ sec3?"
How parallelism occurs in uniprocessor system? What are the connections possible for multiprocessor system?,"What are the ways in which parallelism can be achieved in a single-processor system, and what connections are possible in a multi-processor system?"
Why object-oriented method is easier to model real life scenarios? Describe object oriented analysis with detailed description of the activities involved.,"What are the advantages of using an object-oriented approach to model real-world scenarios? Explain object-oriented analysis in detail, including the steps involved."
"A section line AB appears to be 10.16 cm on a photograph for which the total length is 16 cm. the corresponding line measures 2.54 cm on a map which is to a scale 1/50,000. The terrain has an average elevation of 200 m above mean sea level. Calculate the flying altitude of the aircraft above mean sea level, when the photograph was taken.","What was the altitude of the aircraft in relation to mean sea level when the photograph of section line AB, appearing to measure 10.16 cm on a photograph with a total length of 16 cm, was taken, considering the corresponding line measures 2.54 cm on a map drawn to a scale of 1/50,000 and the terrain having an average elevation of 200 m above mean sea level?"
Explain with sketches the different kinds of defects in timber.,Illustrate the various types of flaws in timber.
Define system. Explain the different types of Real-Time System with suitable examples.,What is a system? Describe the various kinds of Real-Time Systems and provide examples.
Write an algorithm for finding greatest number among 'n' numbers.,Create a procedure for determining the largest number among 'n' numbers.
"Define mixing, blending and emulsification. In a batch mixture, blending starch and dry powdered vegetable for a soup where the initial ratio were 40:60. The variance of the sample compositions measured in terms of fractional compositions of starch was found to be 0.0823 after 300s of mixing. For how much longer should the mixing continue to reach the specific maximum sample composition variance of 0.02? Assume a sample contain 24 particle.","What is the minimum amount of time needed to achieve a sample composition variance of 0.02 when mixing 40% starch and 60% dry powdered vegetable in a batch mixture for a soup with 24 particles, given that the current variance of the sample composition is 0.0823 after 300s of mixing?"
Explain the Air Traffic Control System structure and functions with the help of labeled diagram.,Draw a labeled diagram to illustrate the structure and functions of the Air Traffic Control System.
What is multistage amplifier? Explain working principle of RC coupled transistor amplifier with circuit diagram?,"What is the concept of a multistage amplifier? Could you please explain the functioning of an RC coupled transistor amplifier, including a diagram of the circuit?"
In a certain examination test 2000 students appeared in statistics. The full marks of the exam is 100. The average marks obtained was 50 and the standard deviation was 5. How many students do you expect to obtain more that 60 marks? What is the minimum marks of the top 10% students? Assume that the marks are normally distribution.,"How many students do you anticipate will get more than 60 marks on a certain exam with 2000 students, where the full marks are 100 and the average score was 50 with a standard deviation of 5? What is the lowest score of the top 10% of students, assuming the marks are normally distributed?"
"Define distortion in an amplifier? Calculate the total harmonic distortion for an output signal having fundamental amplitude of 2.5V, second harmonic amplitude of 0.2V, third harmonic amplitude of 0.09V and the fourth harmonic amplitude of 0.06V.","What is the meaning of distortion in an amplifier? What is the total harmonic distortion of an output signal with a fundamental amplitude of 2.5V, a second harmonic amplitude of 0.2V, a third harmonic amplitude of 0.09V, and a fourth harmonic amplitude of 0.06V?"
What is a transducer? Draw and explain about any type of data acquisition system. Assume the necessary conditions as per requirement.,"Describe and illustrate a data acquisition system, taking into account the necessary conditions for its operation. What is a transducer and its role in this system?"
"With the help of suitable circuit diagram, explain counting type ADC.","Explain how a counting type ADC works, using a suitable circuit diagram."
"A steel penstock pipe 500 m long with internal diameter 0.4m supplies water at the rate of 1m3/sec with the static head of 100m. Pressure wave velocity due to the dynamic surge pressure development is 940m/s. Allowable design stress of the pipe material is 1326 kgf/cm2 and joint efficiency 85%. Find the wall thickness of the penstock pipe, if the gate closure time is 40 seconds.","What is the wall thickness of a 500 m long steel penstock pipe with an internal diameter of 0.4 m, supplying water at a rate of 1 m3/sec with a static head of 100 m, a pressure wave velocity of 940 m/s, an allowable design stress of 1326 kgf/cm2, and a joint efficiency of 85%, given that the gate closure time is 40 seconds?"
Write short notes on: (Any two) Use of problem solving technique in IT Magic Square Use of solid geometry,"What are two brief summaries of the use of problem solving techniques in IT, and the use of solid geometry?"
What are the causes of water pollution? Mention its effect on human health and also explain its controlling measures,What are the sources of water contamination? Describe the impact it has on human wellbeing and outline the approaches that can be taken to regulate it.
"The consolidation settlement of a new structure founded on a 5m thick layer is estimated as 6.5cm. The structure was observed to have settled by 1.6cm in six months after completion of construction. If the clay layer is underlain by rock and overlain by a layer of coarse sand, determine (i) the time required for 50% consolidation (ii) the amount of settlement which will take place in next six months.","What is the amount of time needed for the new structure to consolidate by 50%, and how much will it settle in the next six months, given that it was built on a 5m thick layer of clay, which is underlain by rock and overlain by a layer of coarse sand, and it has already settled by 1.6cm in the six months since its completion?"
Explain Turing test. Machine can be made intelligent artificially but ultimately human make the machines. So who is more intelligent – the artificial machine or the person? Discuss.,What is the Turing test and how does it compare the intelligence of artificial machines and humans?
What are the consequences of weed growth in crop production? Why is it importance of weed management for System Rice Intensification (SRI) method of rice cultivation?,What are the effects of weed growth on crop production? Why is weed control essential for the System of Rice Intensification (SRI) method of rice farming?
Define planning and describe work breakdown structure,"What is planning, and how does a work breakdown structure help?"
State and explain in brief about EBL-system. What are its advantages.,Briefly describe the EBL-system and list its benefits.
Explain the various methods used in the generation of a SSB – SC wave.,Describe the different techniques used to produce an SSB-SC signal.
Explain procedure to measure linear distance in plane ground and in sloping ground.,Describe the steps for calculating linear distance on a flat surface and on an inclined plane.
What is cement concrete? Explain mixing and curing of concrete? Discuss the properties of cement concrete in plastic stage.,"Describe cement concrete and explain the process of mixing and curing it. Additionally, discuss the characteristics of cement concrete in its plastic state."
"Define binary heap. Sort the following list using heap sort. (31, 41, 59, 36, 53, 58, 97).","What is a binary heap? How would you organize the following list using heap sort: 31, 41, 59, 36, 53, 58, 97?"
Why voltage distributions in insulator disc of overhead insulators are unequal? Discuss the methods used to improve string efficiency?,What are the reasons for the uneven voltage distribution in the disc of an overhead insulator? How can string efficiency be improved through various techniques?
Briefly discuss about approaches and the different issues in knowledge representation.,What are the different approaches and issues related to knowledge representation?
"Derive the expression for receiving end poisor in terms of A, B, C, D parameter and develop receiving end circle diagram. Now the reactive poisor compensates size can be evaluated from this circle diagram.","What is the expression for the receiving end poisor in terms of A, B, C, and D parameters, and how can the reactive poisor compensation size be determined from the receiving end circle diagram?"
Differentiate between stack and queue. How do you insert and delete an element in a circular queue? Explain with an example.,What are the differences between a stack and a queue? How does one add and remove an element in a circular queue? Provide an example to illustrate.
Define thermodynamic system. Explain any three extensive thermodynamic properties.,What is a thermodynamic system? Describe three extensive thermodynamic characteristics.
A star connected 3 phase 4 pole 50 Hz alternator has a single layer winding in 24 slots . There are 50 turns in each coil and the flux per pole is 0.005 wb. Find the open circuit line voltage.,"What is the open circuit line voltage of a 3-phase, 4-pole, 50 Hz alternator with a single layer winding in 24 slots, containing 50 turns per coil and a flux per pole of 0.005 weber?"
Describe the effect of shunt capacitance on high frequency response with necessary diagram,"What is the impact of shunt capacitance on the high frequency response, and how is it depicted in a diagram?"
How is single electrode potential of Cu electrode measured experimentally? From the given electrode potential values answer the following: Write the electrode reactions. Write the cell reaction.,"What is the experimental method for determining the single electrode potential of a copper electrode? Using the given electrode potential values, what are the electrode reactions and the cell reaction?"
Define buffer solution Explain the mechanism of acidic buffer. Calculate the pH of a buffer solution prepared by mixing 400 ml of 0.5M sodium acetate and 800 ml of 0.1M acetic acid which is 1.3% ionized in solution.,What is a buffer solution and how does it work in an acidic environment? What is the pH of a mixture made of 400 milliliters of 0.5 molar sodium acetate and 800 milliliters of 0.1 molar acetic acid that has 1.3% ionization?
Derive the Common mode gain of differential Amplifier.,Find the Common mode gain of a differential Amplifier.
Define steel with it's composition. Will the pure iron have a property of weldability? Differentiate between and TMT.,What is the composition of steel? Does pure iron have weldability properties? How do TMT and other types of steel differ?
What is an impounded reservoir? What are its function and its importance?,What is the purpose and significance of an impounded reservoir?
What are the benefits of using Testing tools in Software Development process?,What advantages does using Testing tools bring to the Software Development process?
Describe the general view of zone protection and back up protection.,What is the general opinion regarding zone defense and backup security?
What do you mean by Omni On/Poly and Omni Off/Mono? Explain the steps of speech recognition and understanding with  a diagram.,Describe Omni On/Poly and Omni Off/Mono and illustrate the steps of speech recognition and understanding using a diagram.
What is I/O module? Write Down functions of I/O modules.,What are the functions of an I/O module?
Explain Segmentation by threshold method.,Describe the process of dividing an image into parts using a threshold value.
Why did the early Christians choose the Roman basilica as the prototype for their church design? Briefly describe the design of any of the early Christian church.,"What were the reasons behind the early Christians' decision to use the Roman basilica as the basis for their church design? Describe the design of one of the earliest Christian churches. The design of one of the earliest Christian churches was based on the Roman basilica. It was a large rectangular building with a central nave and two side aisles, separated by rows of columns. The nave was usually the longest part of the building, and it was flanked by two side aisles. The nave was usually divided into three sections, with the central section being the widest. The apse, which was the semi-circular area at the end of the nave, was used for the altar. The church also had a large dome, which was often decorated with mosaics."
"Disk B is at rest when it brought into contact with disk A which is rotating freely at 450 r/min  clockwise. After 6 s of slippage, during which each disk has a constant angular acceleration, disk A reaches a final angular velocity of 140 r/min clockwise. Determine the angular acceleration of each disk during the period of slippage.","What is the angular acceleration of Disk A and Disk B when they are brought into contact with one another, and Disk A has an initial angular velocity of 450 r/min clockwise, with a final angular velocity of 140 r/min clockwise after 6 seconds?"
Write short notes on any two: i) Sigma-Delta A/D conversion ii) Differential amplifier iii) Instrumentation amplifier,i) Provide a brief overview of Sigma-Delta A/D conversion. ii) Summarize the function of a Differential amplifier. iii) Describe the purpose of an Instrumentation amplifier.
Differentiate: i) Computer organization and computer architecture ii) SSI and MSI circuits,i) Compare and contrast Computer Organization and Computer Architecture ii) Distinguish between SSI and MSI Circuits
What do you mean by Testing and why it is necessary in various sectors?,What is the purpose of Testing and why is it important in different industries?
Why socket are called end point? Give syntax for creating end point and explain the parameter passed on to create different protocol end point.,What is the reason sockets are referred to as endpoints? Give an example of the syntax used to create an endpoint and explain the parameters used to create different types of protocol endpoints.
What precautions should you take to maintain proper compaction in the field during compaction? Describe relative compaction.,What steps can be taken to ensure that the soil is adequately compacted in the field during compaction? Explain what is meant by relative compaction.
Write short notes on: (Any two) RAID Vector processing Program Control,Provide brief information on: (Any two) RAID Vector Processing Program Control
What are the focal length and radius of curvature of a mirror? Drrive the mirror formula for the reflection of light through a spherical mirror.,What is the relationship between the focal length and radius of curvature of a spherical mirror and how is that used to explain the reflection of light through the mirror?
"Why do we use line coding? Line code the bit stream 8045h using HDB3, B8ZS, NRZ, RZ.","What is the purpose of line coding and how can we encode the bit stream 8045h using HDB3, B8ZS, NRZ, and RZ?"
Describe natural language processing and its major benefits?,"What are the main advantages of natural language processing, and how does it work?"
Explain the principle of operating of magnetic tape recorder. List out its area of application.,Describe how a magnetic tape recorder works and what it is used for.
"Write short notes on: (Any two) Astable Multivibrator, Pi Filter, Application of JEFT","What are the main points of Astable Multivibrator and Pi Filter, and what are some applications of the JEFT?"
What are the purposes of design? How do we trace the models from analysis to design?,What is the goal of design? How can we track the progression from analysis to design?
"Why is it important to preserve the squares, streets and the architectural character of our ancient towns? What different strategies can we adopt when designing new structures in order to bring about contextual harmony?","What strategies can be used to ensure that new structures in ancient towns are designed in a way that preserves the squares, streets, and architectural character of the area? How can we create a harmonious blend of old and new?"
"Write short notes on: (Any two) Complete Response of the Circuit, Properties of RC Impedance Function, Hybrid parameters","Provide a brief overview of two of the following topics: Complete Response of the Circuit, Properties of RC Impedance Function, Hybrid parameters."
Define PAM? How can you generate PPM and PWM from PAM signal? Explain with the help of necessary diagram.,What is PAM and how can it be used to create PPM or PWM?  Please provide an illustration to help explain your answer.
Derive the expression of total charge in differential volume element and prove divergence theorem.,Find the expression for the total charge contained in a small volume element and verify the divergence theorem.
"An engine with 200 mm cylinder diameter and 350 mm stroke works on theoretical Diesel cycle. The initial pressure and temperature of air used are 1 bar and 30°C. The cut off ratio is 1.8 and compression ratio is 20, determine: i) Pressure and temperature at all salient points ii) Theoretical air standard efficiency iii) Cut-off length","What are the pressure and temperature at all significant points, the theoretical air standard efficiency, and the cut-off length for an engine with a 200 mm cylinder diameter and 350 mm stroke that operates on a theoretical Diesel cycle, given an initial pressure and temperature of 1 bar and 30°C, and a cut-off ratio of 1.8 and a compression ratio of 20?"
Discuss the project environment of Nepal as a developing country.,Analyze the development landscape of Nepal as a growing nation.
What is software testing? Explain the workflow of testing model.,How does software testing work? Describe the process of a testing model.
“Information Technology is vital for modern global business to make money”. Justify your answer.,What role does Information Technology play in enabling modern global businesses to be profitable? Explain your reasoning.
Write short notes on any two: i) Cascade design of higher order filters ii) RC-CR transformation iii) Transmission and reflection coefficients,i) Provide a brief overview of Cascade design of higher order filters. ii) Explain the concept of RC-CR transformation. iii) Describe the Transmission and reflection coefficients.
Explain the meaning of perched aquifer. A 20 cm well completely penetrates an artesian aquifer. The length of the aquifer is 15 m. What would be expected yield of the aquifer for a drawdown of 3m if the radius of influence is 300 m and permeability is 35m/day? If the diameter of the well is doubled find the percentage increase in the yield keeping other conditions the same.,"What is the expected yield of an artesian aquifer with a 20 cm well that penetrates 15 m, a drawdown of 3 m, a radius of influence of 300 m, and a permeability of 35 m/day? If the diameter of the well is doubled, what percentage increase in yield can be expected with all other conditions remaining the same?"
Explain the different types of cross drainage structure used in highways of Nepal briefly.,Briefly describe various types of cross drainage structures utilized in highways in Nepal.
Find the elements of the transition curve with sketches.,Draw diagrams to illustrate the components of the transition curve.
Differentiate between enantiomers and diasteriomers with examples. What are carbocations? 3º carbocations are more stable than 2º carbocations why?,"What is the difference between enantiomers and diasteriomers, and what are carbocations? Additionally, why are 3º carbocations more stable than 2º carbocations?"
Briefly describe the planning and design of the Taj Mahal. What influences of Persian and Hindu architecture are observed in its design? What features from the earlier tombs have been improved during its execution,What aspects of Persian and Hindu architecture are seen in the planning and design of the Taj Mahal? How did the design of the Taj Mahal build upon the features of earlier tombs?
"What is meant by water bound macadam road? Describe it’s method of construction; specify the materials, plants and equipments required for its construction.","What is the definition of a water bound macadam road? Explain the process of creating it, including the materials and tools that are necessary."
What are the initial treatments that can be carried out in a failure slope? What detail information should be taken at such sites?,What are the first steps that should be taken when dealing with a failing slope? What information should be gathered at the site?
Write short notes on: (Any two) i) Resection method in Plane Tabling ii) Cross sectioning iii) Temporary adjustment in Theodolite,i) Provide a brief overview of the Resection method in Plane Tabling. ii) Explain the concept of Cross sectioning. iii) Describe the process of Temporary adjustment in Theodolite.
Differentiate RISC vs. CISC computer. How RISC enhances the performance using Register windowing? Explain.,"What are the distinctions between RISC and CISC computers, and how does Register windowing improve performance in RISC architectures?"
What are different types of renewable energy sources? Explain the energy available from solar power plant in detail.,What other kinds of sustainable energy sources are there? Please provide a thorough explanation of the energy available from a solar power plant.
"A cylindrical shell 3.5m long 500mm diameter with metal thickness 10mm is completely filled with fuel gas at atmospheric pressure. If additional 3x105 mm3 fuel is then pumped find stress developed and change in dimension. Take, E= 2.1x105 Mpa and 1/m= 0.3","What is the stress developed and change in dimension if 3x105 mm3 of fuel is pumped into a cylindrical shell 3.5m long and 500mm in diameter with a metal thickness of 10mm, when it is already filled with fuel gas at atmospheric pressure, given that the modulus of elasticity is 2.1x105 Mpa and 1/m is 0.3?"
Draw neat diagram of 8 pin 741 op-amp. Design an operational amplifier that will produce an output equal to 6V1 + 4V2.,Create a detailed illustration of an 8-pin 741 operational amplifier. Design a circuit that will generate an output voltage of 6V1 plus 4V2.
"Explain the class, interfaces and the exceptions involved in java remote method invocation.","Describe the features, interfaces, and exceptions used in Java's Remote Method Invocation."
Explain box sheeting among timbering methods with neat sketches. What are the problems and precautions of deep excavation of trenches?,"Describe box sheeting as a form of timbering for deep trenches, including illustrations. What are the potential issues and safety considerations when excavating trenches to a great depth?"
With the help of neat curve discuss the Bulking of sand and its importance.,Discuss the significance of the Bulking of sand and illustrate it with a neat curve.
Draw a neat diagram and explain zones of protection.,Create a clear illustration and describe the areas of security.
"A television signal has a band width of 41 MHz. This signal is sampled, quantized and binary coded to obtain PCM signal.
Determine the sampling rate, if the signal is to be sampled at a rate 30% above Nyquist rate.
If the samples are quantized to 1000 levels, determine number of binary pulses required to encode each sample.
Determine the binary pulse rate (bps) of the binary coded signal and the minimum bandwidth required to transmit the encoded signal. (Assume Noiseless system)","What is the sampling rate, number of binary pulses per sample, and binary pulse rate of a PCM signal generated from a television signal with a bandwidth of 41 MHz, when it is sampled at a rate 30% higher than the Nyquist rate and quantized to 1000 levels? What is the minimum bandwidth necessary to transmit the encoded signal, assuming a noiseless system?"
Compare and contrast between virus and worm. Explain Access Control List (ACL) and Access Control Matrix (ACM).,What are the similarities and differences between viruses and worms? How do Access Control Lists (ACLs) and Access Control Matrices (ACMs) work?
What is One pass and cross assembler?,How would you describe One pass and cross assembler?
Differentiate high level language and low level language with examples.,Provide examples to illustrate the contrast between high level languages and low level languages.
What is meant by leakage flux? Derive the expression for the specific permeance of the rectangular slot.,What does leakage flux refer to? Compute the formula for the specific permeance of the rectangular slot.
"How do you identify the finiteness, emptiness and membership of a Context Free Grammar (CFG), Explain.","What methods can be used to determine the finiteness, emptiness, and membership of a Context Free Grammar (CFG)? Please provide an explanation."
"Write short notes on: (Any two) Requirement Capture, Why analysis is not design or implementation, Iterations over the life cycle","Create brief summaries of: (Any two) Gathering Requirements, Why Analysis is Different from Design and Implementation, and Iterative Processes throughout the Life Cycle."
Design a 4- bit combinational logic shifter and explain it.,Create a 4-bit combinatorial logic circuit and explain how it works.
Two dice are thrown and the random variable X = sum of the numbers on the upturned faces defined. Draw a table and a graph to indicate the probability distribution of X. Write down the probability mass function for X. Also find the expected value and the variance.,"Construct a table and graph to show the probability distribution of the sum of two dice when thrown, and write down the probability mass function for the sum. Additionally, calculate the expected value and variance of the sum."
Define the term particles and rigid bodies.,"What is the meaning of the words ""particles"" and ""rigid bodies""?"
